BinID,bin_level,Time
BIN_001,63.83,2025-03-01T00:06:14.666439+08:00
BIN_001,63.4,2025-03-01T00:16:14.310679+08:00
BIN_001,62.98,2025-03-01T00:26:13.953228+08:00
BIN_001,64.68,2025-03-01T00:36:13.598453+08:00
BIN_001,65.53,2025-03-01T00:46:13.239917+08:00
BIN_001,64.26,2025-03-01T00:56:12.885147+08:00
BIN_001,62.13,2025-03-01T01:06:12.526973+08:00
BIN_001,62.98,2025-03-01T01:16:12.170431+08:00
BIN_001,62.13,2025-03-01T01:26:11.814921+08:00
BIN_001,64.26,2025-03-01T01:36:11.460450+08:00
BIN_001,63.4,2025-03-01T01:46:11.106480+08:00
BIN_001,61.7,2025-03-01T01:56:10.753044+08:00
BIN_001,63.4,2025-03-01T02:06:10.397910+08:00
BIN_001,63.83,2025-03-01T02:16:10.042727+08:00
BIN_001,62.98,2025-03-01T02:26:09.686152+08:00
BIN_001,63.83,2025-03-01T02:36:09.334533+08:00
BIN_001,64.68,2025-03-01T02:46:08.980674+08:00
BIN_001,62.98,2025-03-01T02:56:08.625711+08:00
BIN_001,63.83,2025-03-01T03:06:08.271696+08:00
BIN_001,62.55,2025-03-01T03:16:07.918042+08:00
BIN_001,62.13,2025-03-01T03:26:07.562625+08:00
BIN_001,63.4,2025-03-01T03:36:07.208827+08:00
BIN_001,63.4,2025-03-01T03:46:06.854139+08:00
BIN_001,63.83,2025-03-01T03:56:06.499793+08:00
BIN_001,62.55,2025-03-01T04:06:06.142702+08:00
BIN_001,63.83,2025-03-01T04:16:05.788243+08:00
BIN_001,62.55,2025-03-01T04:26:05.433535+08:00
BIN_001,62.98,2025-03-01T04:36:05.082324+08:00
BIN_001,62.98,2025-03-01T04:46:04.728050+08:00
BIN_001,62.98,2025-03-01T04:56:04.376370+08:00
BIN_001,62.55,2025-03-01T05:06:04.025778+08:00
BIN_001,63.83,2025-03-01T05:16:03.678929+08:00
BIN_001,65.11,2025-03-01T05:26:03.332761+08:00
BIN_001,64.26,2025-03-01T05:36:02.975579+08:00
BIN_001,62.13,2025-03-01T05:46:02.627348+08:00
BIN_001,63.4,2025-03-01T05:56:02.283179+08:00
BIN_001,63.4,2025-03-01T06:06:01.932186+08:00
BIN_001,62.13,2025-03-01T06:16:01.579600+08:00
BIN_001,62.98,2025-03-01T06:26:01.236315+08:00
BIN_001,63.4,2025-03-01T06:36:00.891241+08:00
BIN_001,62.98,2025-03-01T06:46:00.540857+08:00
BIN_001,62.98,2025-03-01T06:56:00.194241+08:00
BIN_001,62.98,2025-03-01T07:05:59.839361+08:00
BIN_001,64.26,2025-03-01T07:17:05.625173+08:00
BIN_001,62.55,2025-03-01T07:27:05.262235+08:00
BIN_001,62.98,2025-03-01T07:37:04.907035+08:00
BIN_001,62.13,2025-03-01T07:47:04.548374+08:00
BIN_001,63.83,2025-03-01T07:57:04.190736+08:00
BIN_001,62.98,2025-03-01T08:07:03.839412+08:00
BIN_001,63.4,2025-03-01T08:17:03.492850+08:00
BIN_001,63.83,2025-03-01T08:27:03.146937+08:00
BIN_001,63.4,2025-03-01T08:37:02.820494+08:00
BIN_001,62.98,2025-03-01T08:47:02.482370+08:00
BIN_001,63.83,2025-03-01T08:57:02.152329+08:00
BIN_001,63.83,2025-03-01T09:07:01.818548+08:00
BIN_001,64.68,2025-03-01T09:17:01.476514+08:00
BIN_001,62.98,2025-03-01T09:27:01.138975+08:00
BIN_001,62.13,2025-03-01T09:37:00.804479+08:00
BIN_001,64.68,2025-03-01T09:47:00.470109+08:00
BIN_001,63.83,2025-03-01T09:57:00.143382+08:00
BIN_001,62.13,2025-03-01T10:06:59.811504+08:00
BIN_001,63.83,2025-03-01T10:16:59.481226+08:00
BIN_001,62.98,2025-03-01T10:26:59.150459+08:00
BIN_001,62.13,2025-03-01T10:36:58.820643+08:00
BIN_001,64.68,2025-03-01T10:46:58.486759+08:00
BIN_001,62.98,2025-03-01T10:56:58.160100+08:00
BIN_001,62.55,2025-03-01T11:06:57.826196+08:00
BIN_001,63.83,2025-03-01T11:16:57.496918+08:00
BIN_001,63.83,2025-03-01T11:26:57.162258+08:00
BIN_001,64.26,2025-03-01T11:36:56.828778+08:00
BIN_001,64.26,2025-03-01T11:46:56.498675+08:00
BIN_001,63.4,2025-03-01T11:56:56.176152+08:00
BIN_001,63.4,2025-03-01T12:06:55.842036+08:00
BIN_001,63.83,2025-03-01T12:16:55.508562+08:00
BIN_001,64.26,2025-03-01T12:26:55.174945+08:00
BIN_001,62.55,2025-03-01T12:36:54.848553+08:00
BIN_001,62.55,2025-03-01T12:46:54.521927+08:00
BIN_001,64.26,2025-03-01T12:56:54.195999+08:00
BIN_001,62.98,2025-03-01T13:06:53.870479+08:00
BIN_001,64.68,2025-03-01T13:16:53.541978+08:00
BIN_001,63.4,2025-03-01T13:26:53.218661+08:00
BIN_001,63.4,2025-03-01T13:36:52.884903+08:00
BIN_001,63.83,2025-03-01T13:46:52.549540+08:00
BIN_001,63.83,2025-03-01T13:56:52.211991+08:00
BIN_001,63.4,2025-03-01T14:06:51.877368+08:00
BIN_001,63.83,2025-03-01T14:16:51.540459+08:00
BIN_001,62.98,2025-03-01T14:26:51.205163+08:00
BIN_001,62.98,2025-03-01T14:36:50.870544+08:00
BIN_001,66.81,2025-03-01T14:46:50.535929+08:00
BIN_001,77.02,2025-03-01T14:56:50.202468+08:00
BIN_001,76.6,2025-03-01T15:06:49.866468+08:00
BIN_001,77.45,2025-03-01T15:16:49.536507+08:00
BIN_001,76.6,2025-03-01T15:26:49.207069+08:00
BIN_001,75.74,2025-03-01T15:36:48.885071+08:00
BIN_001,76.6,2025-03-01T15:46:48.541767+08:00
BIN_001,76.17,2025-03-01T15:56:48.186832+08:00
BIN_001,76.6,2025-03-01T16:06:47.836940+08:00
BIN_001,78.3,2025-03-01T16:16:47.481627+08:00
BIN_001,75.74,2025-03-01T16:26:47.129581+08:00
BIN_001,76.17,2025-03-01T16:36:46.783535+08:00
BIN_001,77.45,2025-03-01T16:46:46.435990+08:00
BIN_001,76.6,2025-03-01T16:56:46.095264+08:00
BIN_001,76.17,2025-03-01T17:57:46.831455+08:00
BIN_001,75.74,2025-03-01T18:07:46.477641+08:00
BIN_001,91.49,2025-03-01T18:17:46.128894+08:00
BIN_001,91.06,2025-03-01T18:27:45.785997+08:00
BIN_001,90.64,2025-03-01T18:37:45.447877+08:00
BIN_001,91.49,2025-03-01T18:47:45.109847+08:00
BIN_001,91.49,2025-03-01T18:57:44.767795+08:00
BIN_001,90.64,2025-03-01T19:07:44.429276+08:00
BIN_001,91.06,2025-03-01T19:17:44.097105+08:00
BIN_001,91.06,2025-03-01T19:27:43.765877+08:00
BIN_001,93.62,2025-03-01T19:37:43.432204+08:00
BIN_001,73.62,2025-03-01T19:37:43.432204+08:00
BIN_001,98.3,2025-03-01T19:47:43.092053+08:00
BIN_001,97.87,2025-03-01T19:57:42.753672+08:00
BIN_001,97.87,2025-03-01T20:07:42.414648+08:00
BIN_001,98.72,2025-03-01T20:17:42.072116+08:00
BIN_001,98.72,2025-03-01T20:27:41.733965+08:00
BIN_001,99.57,2025-03-01T20:37:41.395352+08:00
BIN_001,97.87,2025-03-01T20:47:41.054596+08:00
BIN_001,97.45,2025-03-01T20:57:40.719794+08:00
BIN_001,98.3,2025-03-01T21:07:40.382443+08:00
BIN_001,98.3,2025-03-01T21:17:40.048669+08:00
BIN_001,98.72,2025-03-01T21:27:39.714922+08:00
BIN_001,98.72,2025-03-01T21:37:39.375221+08:00
BIN_001,97.87,2025-03-01T21:47:39.038063+08:00
BIN_001,99.15,2025-03-01T21:57:38.703323+08:00
BIN_001,99.15,2025-03-01T22:07:38.365827+08:00
BIN_001,98.3,2025-03-01T22:17:38.040087+08:00
BIN_001,98.3,2025-03-01T22:27:37.711405+08:00
BIN_001,98.3,2025-03-01T22:37:37.379234+08:00
BIN_001,98.72,2025-03-01T22:47:37.041572+08:00
BIN_001,98.3,2025-03-01T22:57:36.707131+08:00
BIN_001,98.3,2025-03-01T23:07:36.375859+08:00
BIN_001,97.87,2025-03-01T23:17:36.050351+08:00
BIN_001,97.87,2025-03-01T23:27:35.724142+08:00
BIN_001,98.72,2025-03-01T23:37:35.395181+08:00
BIN_001,98.72,2025-03-01T23:47:35.064508+08:00
BIN_001,98.72,2025-03-01T23:57:34.735169+08:00
BIN_001,97.87,2025-03-02T07:44:44.622241+08:00
BIN_001,98.3,2025-03-02T07:54:44.287793+08:00
BIN_001,98.3,2025-03-02T08:04:43.954017+08:00
BIN_001,98.3,2025-03-02T08:14:43.612299+08:00
BIN_001,97.45,2025-03-02T08:24:43.274412+08:00
BIN_001,97.87,2025-03-02T08:34:42.930294+08:00
BIN_001,97.87,2025-03-02T08:44:42.587396+08:00
BIN_001,97.87,2025-03-02T08:54:42.241399+08:00
BIN_001,97.87,2025-03-02T09:04:41.899938+08:00
BIN_001,2.13,2025-03-02T09:14:41.552167+08:00
BIN_001,2.55,2025-03-02T09:24:41.201487+08:00
BIN_001,2.13,2025-03-02T09:34:40.851797+08:00
BIN_001,1.28,2025-03-02T09:44:40.505258+08:00
BIN_001,2.98,2025-03-02T09:54:40.154114+08:00
BIN_001,1.7,2025-03-02T10:04:39.812401+08:00
BIN_001,1.7,2025-03-02T10:14:39.469643+08:00
BIN_001,1.7,2025-03-02T10:24:39.123420+08:00
BIN_001,2.13,2025-03-02T10:34:38.782699+08:00
BIN_001,2.55,2025-03-02T10:44:38.435643+08:00
BIN_001,2.13,2025-03-02T10:54:38.093412+08:00
BIN_001,1.28,2025-03-02T11:04:37.745645+08:00
BIN_001,2.55,2025-03-02T11:14:37.397362+08:00
BIN_001,36.17,2025-03-02T11:24:37.054636+08:00
BIN_001,36.6,2025-03-02T11:34:36.711390+08:00
BIN_001,36.6,2025-03-02T11:44:36.366445+08:00
BIN_001,36.6,2025-03-02T11:54:36.026596+08:00
BIN_001,35.74,2025-03-02T12:04:35.692357+08:00
BIN_001,35.32,2025-03-02T12:14:35.354572+08:00
BIN_001,36.6,2025-03-02T12:24:35.025217+08:00
BIN_001,36.17,2025-03-02T12:34:34.685998+08:00
BIN_001,36.6,2025-03-02T12:44:34.348986+08:00
BIN_001,36.6,2025-03-02T12:54:34.014092+08:00
BIN_001,35.32,2025-03-02T13:04:33.680379+08:00
BIN_001,36.17,2025-03-02T13:14:33.342811+08:00
BIN_001,35.74,2025-03-02T13:24:33.012097+08:00
BIN_001,36.6,2025-03-02T13:34:32.674654+08:00
BIN_001,37.02,2025-03-02T13:44:32.340140+08:00
BIN_001,36.17,2025-03-02T13:54:32.006984+08:00
BIN_001,36.6,2025-03-02T14:04:31.672526+08:00
BIN_001,35.32,2025-03-02T14:14:31.342188+08:00
BIN_001,37.45,2025-03-02T14:24:31.012492+08:00
BIN_001,37.87,2025-03-02T14:34:30.686450+08:00
BIN_001,37.45,2025-03-02T14:44:30.357091+08:00
BIN_001,36.6,2025-03-02T14:54:30.038372+08:00
BIN_001,37.87,2025-03-02T15:04:29.705351+08:00
BIN_001,35.74,2025-03-02T15:14:29.364848+08:00
BIN_001,34.89,2025-03-02T15:24:29.028142+08:00
BIN_001,36.6,2025-03-02T15:34:28.686110+08:00
BIN_001,37.02,2025-03-02T15:44:28.347530+08:00
BIN_001,37.45,2025-03-02T15:54:28.007891+08:00
BIN_001,37.02,2025-03-02T16:04:27.666714+08:00
BIN_001,35.32,2025-03-02T16:14:27.332407+08:00
BIN_001,42.98,2025-03-02T16:24:26.998391+08:00
BIN_001,42.13,2025-03-02T16:34:26.664721+08:00
BIN_001,42.98,2025-03-02T16:44:26.338460+08:00
BIN_001,42.98,2025-03-02T16:54:26.003773+08:00
BIN_001,42.55,2025-03-02T17:04:25.666243+08:00
BIN_001,42.98,2025-03-02T17:14:25.323574+08:00
BIN_001,42.98,2025-03-02T17:24:24.981741+08:00
BIN_001,43.83,2025-03-02T17:34:24.636286+08:00
BIN_001,43.4,2025-03-02T17:44:24.295123+08:00
BIN_001,42.55,2025-03-02T17:54:23.951349+08:00
BIN_001,42.98,2025-03-02T18:04:23.613684+08:00
BIN_001,43.4,2025-03-02T18:14:23.276018+08:00
BIN_001,42.13,2025-03-02T18:24:22.942609+08:00
BIN_001,42.98,2025-03-02T18:34:22.604866+08:00
BIN_001,42.55,2025-03-02T18:44:22.270296+08:00
BIN_001,69.36,2025-03-02T18:54:21.932764+08:00
BIN_001,70.21,2025-03-02T19:04:21.594711+08:00
